id,element_group,element,orientation,x_start,y_start,z_start,x_end,y_end,z_end,weight
279,9,6,1,900,0,900,900,139,900,0
280,9,6,1,1200,0,900,1200,139,900,0
281,9,6,1,1500,0,900,1500,139,900,0
282,9,2,1,0,139,900,0,174,900,0
283,9,2,1,300,139,900,300,174,900,0
284,9,2,1,600,139,900,600,174,900,0
285,9,2,1,900,139,900,900,174,900,0
286,9,2,1,1200,139,900,1200,174,900,0
287,9,2,1,1500,139,900,1500,174,900,0
288,9,8,2,12,174,900,288,174,900,110
289,9,8,2,312,174,900,588,174,900,110
290,9,8,2,612,174,900,888,174,900,110
291,9,8,2,912,174,900,1188,174,900,110
292,9,8,2,1212,174,900,1488,174,900,110
293,9,2,2,0,174,900,12,174,900,0
294,9,2,2,300,174,900,312,174,900,0
295,9,2,2,600,174,900,612,174,900,0
296,9,2,2,900,174,900,912,174,900,0
297,9,2,2,1200,174,900,1212,174,900,0
298,9,2,2,288,174,900,300,174,900,0
299,9,2,2,588,174,900,600,174,900,0
300,9,2,2,888,174,900,900,174,900,0
301,9,2,2,1188,174,900,1200,174,900,0
302,9,2,2,1488,174,900,1500,174,900,0
303,9,12,1,0,0,450,0,174,450,0
304,9,12,1,600,0,450,600,174,450,0
305,9,13,1,900,0,450,900,174,450,0
306,9,12,1,1200,0,450,1200,174,450,0
307,10,7,1,0,0,0,0,105,0,0
308,10,7,1,300,0,0,300,105,0,0
309,10,7,1,600,0,0,600,105,0,0
310,10,7,1,900,0,0,900,105,0,0
311,10,7,1,1200,0,0,1200,105,0,0
312,10,7,1,1500,0,0,1500,105,0,0
313,10,2,1,0,105,0,0,162,0,0
314,10,2,1,300,105,0,300,162,0,0
315,10,2,1,600,105,0,600,162,0,0
316,10,2,1,900,105,0,900,162,0,0
317,10,2,1,1200,105,0,1200,162,0,0
318,10,2,1,1500,105,0,1500,162,0,0
319,10,10,2,9,162,0,291,162,0,116.25
320,10,10,2,309,162,0,597,162,0,116.25
321,10,10,2,609,162,0,891,162,0,116.25
322,10,10,2,909,162,0,1191,162,0,116.25
323,10,10,2,1209,162,0,1491,162,0,116.25
324,10,2,2,0,162,0,9,162,0,0
325,10,2,2,300,162,0,309,162,0,0
326,10,2,2,600,162,0,609,162,0,0
327,10,2,2,900,162,0,909,162,0,0
328,10,2,2,1200,162,0,1209,162,0,0
329,10,2,2,291,162,0,300,162,0,0
330,10,2,2,597,162,0,600,162,0,0
331,10,2,2,891,162,0,900,162,0,0
332,10,2,2,1191,162,0,1200,162,0,0
333,10,2,2,1491,162,0,1500,162,0,0
334,10,6,1,0,0,300,0,129,300,0
335,10,6,1,300,0,300,300,129,300,0
336,10,6,1,600,0,300,600,129,300,0
337,10,6,1,900,0,300,900,129,300,0
