id,element_type,hinge_side,building_name,member_id,gather_test_data,run_p58,joint_id,system_type,story,description,earthquake_name,units
86,column,1,ICSB,c-2D4-base,0,1,j-1D4,1,2,NA,1979 Imperial Valley,1
88,column,1,ICSB,c-2E4-base,0,1,j-1E4,1,2,NA,1979 Imperial Valley,1
90,column,1,ICSB,c-2F4-base,0,1,j-1F4,1,2,NA,1979 Imperial Valley,1
92,column,1,ICSB,c-2G4-base,0,1,j-1G4,1,2,NA,1979 Imperial Valley,1
1,joint,NaN,ICSB,j-1B1,0,1,NA,1,1,NA,1979 Imperial Valley,1
2,joint,NaN,ICSB,j-1C1,0,1,NA,1,1,NA,1979 Imperial Valley,1
3,joint,NaN,ICSB,j-1D1,0,1,NA,1,1,NA,1979 Imperial Valley,1
4,joint,NaN,ICSB,j-1E1,0,1,NA,1,1,NA,1979 Imperial Valley,1
5,joint,NaN,ICSB,j-1F1,0,1,NA,1,1,NA,1979 Imperial Valley,1
6,joint,NaN,ICSB,j-1G1,0,1,NA,1,1,NA,1979 Imperial Valley,1
7,joint,NaN,ICSB,j-1B2,0,1,NA,1,1,NA,1979 Imperial Valley,1
8,joint,NaN,ICSB,j-1C2,0,1,NA,1,1,NA,1979 Imperial Valley,1
9,joint,NaN,ICSB,j-1D2,0,1,NA,1,1,NA,1979 Imperial Valley,1
10,joint,NaN,ICSB,j-1E2,0,1,NA,1,1,NA,1979 Imperial Valley,1
11,joint,NaN,ICSB,j-1F2,0,1,NA,1,1,NA,1979 Imperial Valley,1
12,joint,NaN,ICSB,j-1G2,0,1,NA,1,1,NA,1979 Imperial Valley,1
13,joint,NaN,ICSB,j-1B3,0,1,NA,1,1,NA,1979 Imperial Valley,1
14,joint,NaN,ICSB,j-1C3,0,1,NA,1,1,NA,1979 Imperial Valley,1
15,joint,NaN,ICSB,j-1D3,0,1,NA,1,1,NA,1979 Imperial Valley,1
16,joint,NaN,ICSB,j-1E3,0,1,NA,1,1,NA,1979 Imperial Valley,1
17,joint,NaN,ICSB,j-1F3,0,1,NA,1,1,NA,1979 Imperial Valley,1
18,joint,NaN,ICSB,j-1G3,0,1,NA,1,1,NA,1979 Imperial Valley,1
19,joint,NaN,ICSB,j-1B4,0,1,NA,1,1,NA,1979 Imperial Valley,1
20,joint,NaN,ICSB,j-1C4,0,1,NA,1,1,NA,1979 Imperial Valley,1
21,joint,NaN,ICSB,j-1D4,0,1,NA,1,1,NA,1979 Imperial Valley,1
22,joint,NaN,ICSB,j-1E4,0,1,NA,1,1,NA,1979 Imperial Valley,1
23,joint,NaN,ICSB,j-1F4,0,1,NA,1,1,NA,1979 Imperial Valley,1
24,joint,NaN,ICSB,j-1G4,0,1,NA,1,1,NA,1979 Imperial Valley,1
2,beam,1,ICSB,b-1BC1-east,0,1,j-1B1,1,1,NA,1979 Imperial Valley,1
4,beam,1,ICSB,b-1CD1-east,0,1,j-1C1,1,1,NA,1979 Imperial Valley,1
6,beam,1,ICSB,b-1DE1-east,0,1,j-1D1,1,1,NA,1979 Imperial Valley,1
8,beam,1,ICSB,b-1EF1-east,0,1,j-1E1,1,1,NA,1979 Imperial Valley,1
10,beam,1,ICSB,b-1FG1-east,0,1,j-1F1,1,1,NA,1979 Imperial Valley,1
13,beam,1,ICSB,b-1BC2-east,0,1,j-1B2,1,1,NA,1979 Imperial Valley,1
15,beam,1,ICSB,b-1CD2-east,0,1,j-1C2,1,1,NA,1979 Imperial Valley,1
17,beam,1,ICSB,b-1DE2-east,0,1,j-1D2,1,1,NA,1979 Imperial Valley,1
19,beam,1,ICSB,b-1EF2-east,0,1,j-1E2,1,1,NA,1979 Imperial Valley,1
21,beam,1,ICSB,b-1FG2-east,0,1,j-1F2,1,1,NA,1979 Imperial Valley,1
24,beam,1,ICSB,b-1BC3-east,0,1,j-1B3,1,1,NA,1979 Imperial Valley,1
26,beam,1,ICSB,b-1CD3-east,0,1,j-1C3,1,1,NA,1979 Imperial Valley,1
28,beam,1,ICSB,b-1DE3-east,0,1,j-1D3,1,1,NA,1979 Imperial Valley,1
