id,x,y,z,dead_load,live_load,mass,record_disp,record_accel,story,primary_story,on_slab,fix
6156,671,822,900,73997.4538510503,4073.83831954169,191.703248318783,1,1,5,0,0,[000000]
6157,971,822,900,73997.4538510503,4073.83831954169,191.703248318783,1,1,5,0,0,[000000]
6158,1271,822,900,73997.4538510503,4073.83831954169,191.703248318783,1,1,5,0,0,[000000]
6159,1571,822,900,36998.7269255251,2036.91915977085,95.8516241593915,1,1,5,0,0,[000000]
6160,0,822,450,52538.1922342457,2892.4252068746,136.109306306336,1,1,5,0,0,[000000]
6161,1642,822,450,52538.1922342457,2892.4252068746,136.109306306336,1,1,5,0,0,[000000]
6162,71,980,0,30235.5187778485,811.584977721197,78.3303595281049,1,1,6,1,0,[000000]
6163,371,980,0,60471.037555697,1623.16995544239,156.66071905621,1,1,6,0,0,[000000]
6164,671,980,0,60471.037555697,1623.16995544239,156.66071905621,1,1,6,0,0,[000000]
6165,971,980,0,60471.037555697,1623.16995544239,156.66071905621,1,1,6,0,0,[000000]
6166,1271,980,0,60471.037555697,1623.16995544239,156.66071905621,1,1,6,0,0,[000000]
6167,1571,980,0,30235.5187778485,811.584977721197,78.3303595281049,1,1,6,0,0,[000000]
6168,71,980,300,60471.037555697,1623.16995544239,156.66071905621,1,1,6,0,0,[000000]
6169,371,980,300,120942.075111394,3246.33991088479,313.32143811242,1,1,6,0,0,[000000]
6170,671,980,300,120942.075111394,3246.33991088479,313.32143811242,1,1,6,0,0,[000000]
6171,971,980,300,120942.075111394,3246.33991088479,313.32143811242,1,1,6,0,0,[000000]
6172,1271,980,300,120942.075111394,3246.33991088479,313.32143811242,1,1,6,0,0,[000000]
6173,1571,980,300,60471.037555697,1623.16995544239,156.66071905621,1,1,6,0,0,[000000]
6174,71,980,600,60471.037555697,1623.16995544239,156.66071905621,1,1,6,0,0,[000000]
6175,371,980,600,120942.075111394,3246.33991088479,313.32143811242,1,1,6,0,0,[000000]
6176,671,980,600,120942.075111394,3246.33991088479,313.32143811242,1,1,6,0,0,[000000]
6177,971,980,600,120942.075111394,3246.33991088479,313.32143811242,1,1,6,0,0,[000000]
6178,1271,980,600,120942.075111394,3246.33991088479,313.32143811242,1,1,6,0,0,[000000]
6179,1571,980,600,60471.037555697,1623.16995544239,156.66071905621,1,1,6,0,0,[000000]
6180,71,980,900,30235.5187778485,811.584977721197,78.3303595281049,1,1,6,0,0,[000000]
6181,371,980,900,60471.037555697,1623.16995544239,156.66071905621,1,1,6,0,0,[000000]
6182,671,980,900,60471.037555697,1623.16995544239,156.66071905621,1,1,6,0,0,[000000]
6183,971,980,900,60471.037555697,1623.16995544239,156.66071905621,1,1,6,0,0,[000000]
6184,1271,980,900,60471.037555697,1623.16995544239,156.66071905621,1,1,6,0,0,[000000]
6185,1571,980,900,30235.5187778485,811.584977721197,78.3303595281049,1,1,6,0,0,[000000]
6186,0,980,450,42934.4366645449,1152.4506683641,111.229110529909,1,1,6,0,0,[000000]
6187,1642,980,450,42934.4366645449,1152.4506683641,111.229110529909,1,1,6,0,0,[000000]
6188,71,144,0,0,0,0,0,0,0,0,0,[000000]
6189,83,159,0,0,0,0,0,0,0,0,0,[000000]
6190,371,144,0,0,0,0,0,0,0,0,0,[000000]
6191,359,159,0,0,0,0,0,0,0,0,0,[000000]
6192,383,159,0,0,0,0,0,0,0,0,0,[000000]
6193,671,144,0,0,0,0,0,0,0,0,0,[000000]
6194,659,159,0,0,0,0,0,0,0,0,0,[000000]
6195,683,159,0,0,0,0,0,0,0,0,0,[000000]
6196,971,144,0,0,0,0,0,0,0,0,0,[000000]
6197,959,159,0,0,0,0,0,0,0,0,0,[000000]
